k,sigmax,sigmay
-0.05,8.2,0.55
-0.045,7.7,0.6
-0.04,7,0.7
-0.035,6.4,1
-0.03,6,1.4
-0.025,5.7,1.6
-0.02,5.3,1.9
-0.015,5,2.2
-0.01,4.6,2.5
0,4,3.1
0.005,3.7,3.4
0.01,3.4,3.6
0.015,3.1,4
0.02,2.9,4.3
0.025,2.5,4.6
0.03,2.3,4.9
0.035,2,5.2
0.04,1.7,5.6
0.045,1.5,6
0.05,1.2,6.4
