Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,-3.02
,
,
,
Label,
TIME,CH3
-5.01000e-02,0.0960469
-5.00990e-02,0.0934062
-5.00980e-02,0.0951875
-5.00970e-02,0.0923906
-5.00960e-02,0.0893437
-5.00950e-02,0.0886875
-5.00940e-02,0.0868125
-5.00930e-02,0.0837969
-5.00920e-02,0.0837812
-5.00910e-02,0.0814531
-5.00900e-02,0.0791406
-5.00890e-02,0.0755312
-5.00880e-02,0.0759375
-5.00870e-02,0.0722344
-5.00860e-02,0.0724062
-5.00850e-02,0.0667969
-5.00840e-02,0.0641562
-5.00830e-02,0.0644844
-5.00820e-02,0.0586094
-5.00810e-02,0.0586719
-5.00800e-02,0.0551719
-5.00790e-02,0.0518125
-5.00780e-02,0.0506562
-5.00770e-02,0.0476719
-5.00760e-02,0.0436094
-5.00750e-02,0.04225
-5.00740e-02,0.0386875
-5.00730e-02,0.0370937
-5.00720e-02,0.0352969
-5.00710e-02,0.0314219
-5.00700e-02,0.0291094
-5.00690e-02,0.0262656
-5.00680e-02,0.0239219
-5.00670e-02,0.0200937
-5.00660e-02,0.016375
-5.00650e-02,0.0145937
-5.00640e-02,0.013375
-5.00630e-02,0.012625
-5.00620e-02,0.00742187
-5.00610e-02,0.00690625
-5.00600e-02,0.00271875
-5.00590e-02,0.00207812
-5.00580e-02,-0.00175
-5.00570e-02,-0.00409375
-5.00560e-02,-0.00398438
-5.00550e-02,-0.00785938
-5.00540e-02,-0.008875
-5.00530e-02,-0.0125469
-5.00520e-02,-0.0134219
-5.00510e-02,-0.0165938
-5.00500e-02,-0.0185781
-5.00490e-02,-0.018875
-5.00480e-02,-0.0228125
-5.00470e-02,-0.0234063
-5.00460e-02,-0.0253125
-5.00450e-02,-0.0231406
-5.00440e-02,-0.0290469
-5.00430e-02,-0.0297031
-5.00420e-02,-0.030375
-5.00410e-02,-0.0325
-5.00400e-02,-0.0347813
-5.00390e-02,-0.0347656
-5.00380e-02,-0.0365938
-5.00370e-02,-0.04
-5.00360e-02,-0.0405156
-5.00350e-02,-0.0424375
-5.00340e-02,-0.0440625
-5.00330e-02,-0.0447344
-5.00320e-02,-0.043375
-5.00310e-02,-0.0455469
-5.00300e-02,-0.0472969
-5.00290e-02,-0.0497812
-5.00280e-02,-0.0500156
-5.00270e-02,-0.0502812
-5.00260e-02,-0.0503281
-5.00250e-02,-0.0533125
-5.00240e-02,-0.053375
-5.00230e-02,-0.0550313
-5.00220e-02,-0.0550313
-5.00210e-02,-0.0574062
-5.00200e-02,-0.0555313
-5.00190e-02,-0.0584375
-5.00180e-02,-0.0584062
-5.00170e-02,-0.0584844
-5.00160e-02,-0.0626875
-5.00150e-02,-0.0621094
-5.00140e-02,-0.0633125
-5.00130e-02,-0.0625156
-5.00120e-02,-0.0633281
-5.00110e-02,-0.0650469
-5.00100e-02,-0.0657969
-5.00090e-02,-0.0670938
-5.00080e-02,-0.0661094
-5.00070e-02,-0.0666563
-5.00060e-02,-0.0664844
-5.00050e-02,-0.0686563
-5.00040e-02,-0.0697187
-5.00030e-02,-0.067
-5.00020e-02,-0.0713281
-5.00010e-02,-0.0687187
-5.00000e-02,-0.0720938
-4.99990e-02,-0.0699688
-4.99980e-02,-0.0740312
-4.99970e-02,-0.0730469
-4.99960e-02,-0.0725312
-4.99950e-02,-0.0756875
-4.99940e-02,-0.0721094
-4.99930e-02,-0.0769219
-4.99920e-02,-0.0756719
-4.99910e-02,-0.0772344
-4.99900e-02,-0.0742344
-4.99890e-02,-0.0772344
-4.99880e-02,-0.0775625
-4.99870e-02,-0.0757344
-4.99860e-02,-0.0781563
-4.99850e-02,-0.0768281
-4.99840e-02,-0.0800312
-4.99830e-02,-0.0793594
-4.99820e-02,-0.0799219
-4.99810e-02,-0.0793906
-4.99800e-02,-0.0812969
-4.99790e-02,-0.0802031
-4.99780e-02,-0.080125
-4.99770e-02,-0.08025
-4.99760e-02,-0.0810156
-4.99750e-02,-0.0811563
-4.99740e-02,-0.0801563
-4.99730e-02,-0.0825625
-4.99720e-02,-0.0819844
-4.99710e-02,-0.0820625
-4.99700e-02,-0.0829063
-4.99690e-02,-0.0817031
-4.99680e-02,-0.0825469
-4.99670e-02,-0.0811406
-4.99660e-02,-0.08025
-4.99650e-02,-0.082125
-4.99640e-02,-0.0815312
-4.99630e-02,-0.0822031
-4.99620e-02,-0.0784531
-4.99610e-02,-0.0813281
-4.99600e-02,-0.0819531
-4.99590e-02,-0.0788594
-4.99580e-02,-0.0788594
-4.99570e-02,-0.0783437
-4.99560e-02,-0.0794063
-4.99550e-02,-0.0805
-4.99540e-02,-0.0809063
-4.99530e-02,-0.078375
-4.99520e-02,-0.07875
-4.99510e-02,-0.0772969
-4.99500e-02,-0.0768906
-4.99490e-02,-0.0760156
-4.99480e-02,-0.0754531
-4.99470e-02,-0.0729063
-4.99460e-02,-0.0742344
-4.99450e-02,-0.0711094
-4.99440e-02,-0.0726406
-4.99430e-02,-0.0694375
-4.99420e-02,-0.0687656
-4.99410e-02,-0.0688594
-4.99400e-02,-0.0655313
-4.99390e-02,-0.0654844
-4.99380e-02,-0.0661406
-4.99370e-02,-0.0632813
-4.99360e-02,-0.0604219
-4.99350e-02,-0.0601563
-4.99340e-02,-0.0576406
-4.99330e-02,-0.0580625
-4.99320e-02,-0.0565781
-4.99310e-02,-0.0522656
-4.99300e-02,-0.0527344
-4.99290e-02,-0.0503125
-4.99280e-02,-0.0482969
-4.99270e-02,-0.047125
-4.99260e-02,-0.0434688
-4.99250e-02,-0.0413125
-4.99240e-02,-0.039625
-4.99230e-02,-0.0373594
-4.99220e-02,-0.0358125
-4.99210e-02,-0.0344375
-4.99200e-02,-0.0310469
-4.99190e-02,-0.0299375
-4.99180e-02,-0.0285938
-4.99170e-02,-0.0246875
-4.99160e-02,-0.0215469
-4.99150e-02,-0.0199063
-4.99140e-02,-0.0147969
-4.99130e-02,-0.0148437
-4.99120e-02,-0.0125938
-4.99110e-02,-0.00960938
-4.99100e-02,-0.00773438
-4.99090e-02,-0.00454688
-4.99080e-02,-0.000921875
-4.99070e-02,0.00196875
-4.99060e-02,0.00421875
-4.99050e-02,0.007375
-4.99040e-02,0.00810937
-4.99030e-02,0.0126406
-4.99020e-02,0.0144063
-4.99010e-02,0.0163437
-4.99000e-02,0.0204375
-4.98990e-02,0.0238906
-4.98980e-02,0.0246094
-4.98970e-02,0.0276094
-4.98960e-02,0.0276562
-4.98950e-02,0.0320156
-4.98940e-02,0.0354844
-4.98930e-02,0.0383281
-4.98920e-02,0.041625
-4.98910e-02,0.0405937
-4.98900e-02,0.0452344
-4.98890e-02,0.0459531
-4.98880e-02,0.0510312
-4.98870e-02,0.0524687
-4.98860e-02,0.0562187
-4.98850e-02,0.0595937
-4.98840e-02,0.0607187
-4.98830e-02,0.061
-4.98820e-02,0.0669062
-4.98810e-02,0.0694375
-4.98800e-02,0.0697344
-4.98790e-02,0.0723437
-4.98780e-02,0.0743906
-4.98770e-02,0.074875
-4.98760e-02,0.0790625
-4.98750e-02,0.0794219
-4.98740e-02,0.0806094
-4.98730e-02,0.0839687
-4.98720e-02,0.0863594
-4.98710e-02,0.0864219
-4.98700e-02,0.0876875
-4.98690e-02,0.0916406
-4.98680e-02,0.0920312
-4.98670e-02,0.0936562
-4.98660e-02,0.0945937
-4.98650e-02,0.0947031
-4.98640e-02,0.0970781
-4.98630e-02,0.0959531
-4.98620e-02,0.0986406
-4.98610e-02,0.0992656
-4.98600e-02,0.100031
-4.98590e-02,0.100156
-4.98580e-02,0.103234
-4.98570e-02,0.102437
-4.98560e-02,0.103875
-4.98550e-02,0.103
-4.98540e-02,0.103281
-4.98530e-02,0.103844
-4.98520e-02,0.102031
-4.98510e-02,0.103906
-4.98500e-02,0.102531
-4.98490e-02,0.101922
-4.98480e-02,0.103453
-4.98470e-02,0.102609
-4.98460e-02,0.102891
-4.98450e-02,0.1005
-4.98440e-02,0.10225
-4.98430e-02,0.100547
-4.98420e-02,0.0989219
-4.98410e-02,0.0987656
-4.98400e-02,0.0976406
-4.98390e-02,0.0948594
-4.98380e-02,0.0944687
-4.98370e-02,0.0912187
-4.98360e-02,0.0946406
-4.98350e-02,0.0892656
-4.98340e-02,0.0888281
-4.98330e-02,0.0889062
-4.98320e-02,0.0872812
-4.98310e-02,0.0828281
-4.98300e-02,0.0815469
-4.98290e-02,0.0804375
-4.98280e-02,0.0782187
-4.98270e-02,0.0774687
-4.98260e-02,0.07375
-4.98250e-02,0.0707812
-4.98240e-02,0.0700937
-4.98230e-02,0.0671719
-4.98220e-02,0.0666562
-4.98210e-02,0.0622812
-4.98200e-02,0.0591406
-4.98190e-02,0.0557031
-4.98180e-02,0.0543125
-4.98170e-02,0.0527812
-4.98160e-02,0.0491094
-4.98150e-02,0.0451719
-4.98140e-02,0.0433437
-4.98130e-02,0.0422031
-4.98120e-02,0.03725
-4.98110e-02,0.037125
-4.98100e-02,0.0323906
-4.98090e-02,0.0288594
-4.98080e-02,0.0266562
-4.98070e-02,0.0254219
-4.98060e-02,0.0222188
-4.98050e-02,0.0177656
-4.98040e-02,0.0174844
-4.98030e-02,0.0159687
-4.98020e-02,0.0129375
-4.98010e-02,0.007875
-4.98000e-02,0.00876562
-4.97990e-02,0.00423437
-4.97980e-02,0.00253125
-4.97970e-02,0.00034375
-4.97960e-02,-0.00071875
-4.97950e-02,-0.00226562
-4.97940e-02,-0.00570313
-4.97930e-02,-0.00951563
-4.97920e-02,-0.0108125
-4.97910e-02,-0.0128125
-4.97900e-02,-0.0152656
-4.97890e-02,-0.0154219
-4.97880e-02,-0.0170469
-4.97870e-02,-0.0202188
-4.97860e-02,-0.0236719
-4.97850e-02,-0.0229375
-4.97840e-02,-0.0251406
-4.97830e-02,-0.0277188
-4.97820e-02,-0.0298906
-4.97810e-02,-0.030625
-4.97800e-02,-0.033625
-4.97790e-02,-0.0341562
-4.97780e-02,-0.035
-4.97770e-02,-0.0345781
-4.97760e-02,-0.0374375
-4.97750e-02,-0.0383438
-4.97740e-02,-0.0405469
-4.97730e-02,-0.0442812
-4.97720e-02,-0.0419063
-4.97710e-02,-0.0445313
-4.97700e-02,-0.0461094
-4.97690e-02,-0.0485313
-4.97680e-02,-0.0475937
-4.97670e-02,-0.0472031
-4.97660e-02,-0.0519219
-4.97650e-02,-0.0494531
-4.97640e-02,-0.0525937
-4.97630e-02,-0.0521563
-4.97620e-02,-0.0541406
-4.97610e-02,-0.0560781
-4.97600e-02,-0.0557344
-4.97590e-02,-0.0579531
-4.97580e-02,-0.0576406
-4.97570e-02,-0.0590781
-4.97560e-02,-0.0597656
-4.97550e-02,-0.0614688
-4.97540e-02,-0.0581563
-4.97530e-02,-0.0615625
-4.97520e-02,-0.0629375
-4.97510e-02,-0.0629219
-4.97500e-02,-0.0633906
-4.97490e-02,-0.0624531
-4.97480e-02,-0.0646719
-4.97470e-02,-0.0665
-4.97460e-02,-0.0659219
-4.97450e-02,-0.0650469
-4.97440e-02,-0.0696563
-4.97430e-02,-0.0678906
-4.97420e-02,-0.0682344
-4.97410e-02,-0.0707031
-4.97400e-02,-0.07
-4.97390e-02,-0.0700625
-4.97380e-02,-0.0729688
-4.97370e-02,-0.0738125
-4.97360e-02,-0.0748906
-4.97350e-02,-0.0724063
-4.97340e-02,-0.0717813
-4.97330e-02,-0.0751563
-4.97320e-02,-0.0745938
-4.97310e-02,-0.0754531
-4.97300e-02,-0.0759688
-4.97290e-02,-0.0757969
-4.97280e-02,-0.0770469
-4.97270e-02,-0.078875
