Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,-3.02
,
,
,
Label,
TIME,CH3
-5.01000e-02,-0.0642813
-5.00990e-02,-0.0628438
-5.00980e-02,-0.0608438
-5.00970e-02,-0.0587656
-5.00960e-02,-0.054875
-5.00950e-02,-0.0528906
-5.00940e-02,-0.0479688
-5.00930e-02,-0.0469219
-5.00920e-02,-0.0427969
-5.00910e-02,-0.0391563
-5.00900e-02,-0.0356719
-5.00890e-02,-0.0329687
-5.00880e-02,-0.02825
-5.00870e-02,-0.0278906
-5.00860e-02,-0.0223125
-5.00850e-02,-0.021125
-5.00840e-02,-0.0148437
-5.00830e-02,-0.01275
-5.00820e-02,-0.00817187
-5.00810e-02,-0.00485937
-5.00800e-02,-0.00173438
-5.00790e-02,0.00296875
-5.00780e-02,0.00657812
-5.00770e-02,0.0108125
-5.00760e-02,0.0143594
-5.00750e-02,0.0182969
-5.00740e-02,0.0226719
-5.00730e-02,0.0258125
-5.00720e-02,0.0295156
-5.00710e-02,0.0362187
-5.00700e-02,0.0374844
-5.00690e-02,0.0427031
-5.00680e-02,0.0468594
-5.00670e-02,0.0501094
-5.00660e-02,0.0537031
-5.00650e-02,0.0594062
-5.00640e-02,0.0615469
-5.00630e-02,0.0665
-5.00620e-02,0.0688281
-5.00610e-02,0.0720312
-5.00600e-02,0.0768125
-5.00590e-02,0.0799375
-5.00580e-02,0.0840156
-5.00570e-02,0.0861094
-5.00560e-02,0.0911719
-5.00550e-02,0.0940781
-5.00540e-02,0.0957969
-5.00530e-02,0.0990469
-5.00520e-02,0.102125
-5.00510e-02,0.103594
-5.00500e-02,0.105906
-5.00490e-02,0.109328
-5.00480e-02,0.111391
-5.00470e-02,0.113
-5.00460e-02,0.115516
-5.00450e-02,0.116406
-5.00440e-02,0.118141
-5.00430e-02,0.120125
-5.00420e-02,0.122562
-5.00410e-02,0.124422
-5.00400e-02,0.124531
-5.00390e-02,0.124953
-5.00380e-02,0.126297
-5.00370e-02,0.125875
-5.00360e-02,0.125875
-5.00350e-02,0.126078
-5.00340e-02,0.126859
-5.00330e-02,0.126906
-5.00320e-02,0.125672
-5.00310e-02,0.126734
-5.00300e-02,0.1265
-5.00290e-02,0.124734
-5.00280e-02,0.123203
-5.00270e-02,0.121844
-5.00260e-02,0.122453
-5.00250e-02,0.120328
-5.00240e-02,0.118156
-5.00230e-02,0.118312
-5.00220e-02,0.116437
-5.00210e-02,0.116125
-5.00200e-02,0.114062
-5.00190e-02,0.110625
-5.00180e-02,0.110516
-5.00170e-02,0.107172
-5.00160e-02,0.106031
-5.00150e-02,0.103875
-5.00140e-02,0.103297
-5.00130e-02,0.100812
-5.00120e-02,0.0985
-5.00110e-02,0.0958906
-5.00100e-02,0.0954062
-5.00090e-02,0.0919219
-5.00080e-02,0.0894531
-5.00070e-02,0.0878437
-5.00060e-02,0.0835
-5.00050e-02,0.0825
-5.00040e-02,0.0807656
-5.00030e-02,0.0792969
-5.00020e-02,0.0761875
-5.00010e-02,0.0735781
-5.00000e-02,0.0708125
-4.99990e-02,0.071
-4.99980e-02,0.0674844
-4.99970e-02,0.0660781
-4.99960e-02,0.0626406
-4.99950e-02,0.0600156
-4.99940e-02,0.0591719
-4.99930e-02,0.0551562
-4.99920e-02,0.0534844
-4.99910e-02,0.0517656
-4.99900e-02,0.0499219
-4.99890e-02,0.04775
-4.99880e-02,0.0455937
-4.99870e-02,0.0418906
-4.99860e-02,0.0400781
-4.99850e-02,0.0397656
-4.99840e-02,0.0373906
-4.99830e-02,0.0345
-4.99820e-02,0.0330156
-4.99810e-02,0.0300156
-4.99800e-02,0.0282031
-4.99790e-02,0.0267187
-4.99780e-02,0.0236406
-4.99770e-02,0.0207812
-4.99760e-02,0.0214219
-4.99750e-02,0.0216875
-4.99740e-02,0.016625
-4.99730e-02,0.0147656
-4.99720e-02,0.0155
-4.99710e-02,0.0124844
-4.99700e-02,0.0115312
-4.99690e-02,0.00957812
-4.99680e-02,0.00564063
-4.99670e-02,0.00589062
-4.99660e-02,0.00589062
-4.99650e-02,0.00220312
-4.99640e-02,0.00059375
-4.99630e-02,0.000484375
-4.99620e-02,-0.00259375
-4.99610e-02,-0.00259375
-4.99600e-02,-0.00360938
-4.99590e-02,-0.0065625
-4.99580e-02,-0.0061875
-4.99570e-02,-0.00714063
-4.99560e-02,-0.00851563
-4.99550e-02,-0.00909375
-4.99540e-02,-0.0114063
-4.99530e-02,-0.0121094
-4.99520e-02,-0.0137344
-4.99510e-02,-0.0162656
-4.99500e-02,-0.0162031
-4.99490e-02,-0.0174375
-4.99480e-02,-0.0216406
-4.99470e-02,-0.0204375
-4.99460e-02,-0.0211094
-4.99450e-02,-0.0235
-4.99440e-02,-0.0262969
-4.99430e-02,-0.0259688
-4.99420e-02,-0.0275781
-4.99410e-02,-0.0287188
-4.99400e-02,-0.0307188
-4.99390e-02,-0.03275
-4.99380e-02,-0.03375
-4.99370e-02,-0.0350938
-4.99360e-02,-0.0376563
-4.99350e-02,-0.0380469
-4.99340e-02,-0.0408438
-4.99330e-02,-0.0413125
-4.99320e-02,-0.0423125
-4.99310e-02,-0.0431094
-4.99300e-02,-0.0469688
-4.99290e-02,-0.0475625
-4.99280e-02,-0.0487031
-4.99270e-02,-0.0522969
-4.99260e-02,-0.0545937
-4.99250e-02,-0.0548125
-4.99240e-02,-0.057125
-4.99230e-02,-0.0585781
-4.99220e-02,-0.0620938
-4.99210e-02,-0.0618438
-4.99200e-02,-0.0648594
-4.99190e-02,-0.0665156
-4.99180e-02,-0.0667656
-4.99170e-02,-0.0694375
-4.99160e-02,-0.0724219
-4.99150e-02,-0.0735938
-4.99140e-02,-0.0762656
-4.99130e-02,-0.0774531
-4.99120e-02,-0.0795625
-4.99110e-02,-0.0796094
-4.99100e-02,-0.0824375
-4.99090e-02,-0.0847813
-4.99080e-02,-0.0852813
-4.99070e-02,-0.0875156
-4.99060e-02,-0.0887031
-4.99050e-02,-0.0904375
-4.99040e-02,-0.0906562
-4.99030e-02,-0.0932344
-4.99020e-02,-0.0965469
-4.99010e-02,-0.095875
-4.99000e-02,-0.0970781
-4.98990e-02,-0.0990469
-4.98980e-02,-0.0996875
-4.98970e-02,-0.101219
-4.98960e-02,-0.102469
-4.98950e-02,-0.103094
-4.98940e-02,-0.103859
-4.98930e-02,-0.104766
-4.98920e-02,-0.105688
-4.98910e-02,-0.105141
-4.98900e-02,-0.107078
-4.98890e-02,-0.107547
-4.98880e-02,-0.107875
-4.98870e-02,-0.109234
-4.98860e-02,-0.109391
-4.98850e-02,-0.109047
-4.98840e-02,-0.111578
-4.98830e-02,-0.110813
-4.98820e-02,-0.111906
-4.98810e-02,-0.111234
-4.98800e-02,-0.11125
-4.98790e-02,-0.111016
-4.98780e-02,-0.112328
-4.98770e-02,-0.111906
-4.98760e-02,-0.112391
-4.98750e-02,-0.112094
-4.98740e-02,-0.110656
-4.98730e-02,-0.111891
-4.98720e-02,-0.111234
-4.98710e-02,-0.110469
-4.98700e-02,-0.111281
-4.98690e-02,-0.109563
-4.98680e-02,-0.109031
-4.98670e-02,-0.109703
-4.98660e-02,-0.108484
-4.98650e-02,-0.109234
-4.98640e-02,-0.106469
-4.98630e-02,-0.105391
-4.98620e-02,-0.104719
-4.98610e-02,-0.105469
-4.98600e-02,-0.103781
-4.98590e-02,-0.100938
-4.98580e-02,-0.100828
-4.98570e-02,-0.101313
-4.98560e-02,-0.0985313
-4.98550e-02,-0.0975313
-4.98540e-02,-0.0988125
-4.98530e-02,-0.0947344
-4.98520e-02,-0.0922969
-4.98510e-02,-0.0930469
-4.98500e-02,-0.0898438
-4.98490e-02,-0.087875
-4.98480e-02,-0.0869844
-4.98470e-02,-0.0856719
-4.98460e-02,-0.0827813
-4.98450e-02,-0.0797031
-4.98440e-02,-0.078875
-4.98430e-02,-0.0772656
-4.98420e-02,-0.0750312
-4.98410e-02,-0.0722031
-4.98400e-02,-0.0702344
-4.98390e-02,-0.0676719
-4.98380e-02,-0.06525
-4.98370e-02,-0.0635
-4.98360e-02,-0.0605781
-4.98350e-02,-0.0593125
-4.98340e-02,-0.0560156
-4.98330e-02,-0.0498594
-4.98320e-02,-0.0482969
-4.98310e-02,-0.0465469
-4.98300e-02,-0.041125
-4.98290e-02,-0.0387031
-4.98280e-02,-0.0356563
-4.98270e-02,-0.0328125
-4.98260e-02,-0.0295
-4.98250e-02,-0.0257969
-4.98240e-02,-0.021875
-4.98230e-02,-0.0186719
-4.98220e-02,-0.015
-4.98210e-02,-0.0117031
-4.98200e-02,-0.00825
-4.98190e-02,-0.0034375
-4.98180e-02,-0.00028125
-4.98170e-02,0.0038125
-4.98160e-02,0.00757812
-4.98150e-02,0.0115781
-4.98140e-02,0.0162812
-4.98130e-02,0.0188281
-4.98120e-02,0.0245469
-4.98110e-02,0.0287812
-4.98100e-02,0.0320781
-4.98090e-02,0.0348594
-4.98080e-02,0.0412656
-4.98070e-02,0.0434375
-4.98060e-02,0.0465469
-4.98050e-02,0.0507187
-4.98040e-02,0.0545156
-4.98030e-02,0.0606094
-4.98020e-02,0.0628437
-4.98010e-02,0.0651094
-4.98000e-02,0.0709062
-4.97990e-02,0.0757656
-4.97980e-02,0.0772969
-4.97970e-02,0.0799687
-4.97960e-02,0.086625
-4.97950e-02,0.0877344
-4.97940e-02,0.0891406
-4.97930e-02,0.0940469
-4.97920e-02,0.0969062
-4.97910e-02,0.0986562
-4.97900e-02,0.103656
-4.97890e-02,0.104344
-4.97880e-02,0.106641
-4.97870e-02,0.108109
-4.97860e-02,0.111734
-4.97850e-02,0.113219
-4.97840e-02,0.115219
-4.97830e-02,0.116953
-4.97820e-02,0.118406
-4.97810e-02,0.121672
-4.97800e-02,0.121906
-4.97790e-02,0.122172
-4.97780e-02,0.124656
-4.97770e-02,0.124437
-4.97760e-02,0.125344
-4.97750e-02,0.126219
-4.97740e-02,0.124844
-4.97730e-02,0.124719
-4.97720e-02,0.126156
-4.97710e-02,0.126484
-4.97700e-02,0.124766
-4.97690e-02,0.123812
-4.97680e-02,0.123766
-4.97670e-02,0.122937
-4.97660e-02,0.121641
-4.97650e-02,0.121203
-4.97640e-02,0.119375
-4.97630e-02,0.119734
-4.97620e-02,0.116266
-4.97610e-02,0.118141
-4.97600e-02,0.116219
-4.97590e-02,0.112297
-4.97580e-02,0.111453
-4.97570e-02,0.111859
-4.97560e-02,0.106828
-4.97550e-02,0.107297
-4.97540e-02,0.103656
-4.97530e-02,0.102875
-4.97520e-02,0.0993906
-4.97510e-02,0.0978594
-4.97500e-02,0.0965312
-4.97490e-02,0.0948594
-4.97480e-02,0.09175
-4.97470e-02,0.0885156
-4.97460e-02,0.0885781
-4.97450e-02,0.0853906
-4.97440e-02,0.0835781
-4.97430e-02,0.0815469
-4.97420e-02,0.0790937
-4.97410e-02,0.0761094
-4.97400e-02,0.0755
-4.97390e-02,0.0726875
-4.97380e-02,0.0716562
-4.97370e-02,0.06875
-4.97360e-02,0.066375
-4.97350e-02,0.0635312
-4.97340e-02,0.0618281
-4.97330e-02,0.0582656
-4.97320e-02,0.057375
-4.97310e-02,0.0547656
-4.97300e-02,0.0534687
-4.97290e-02,0.05025
-4.97280e-02,0.0492187
-4.97270e-02,0.0460312
-4.97260e-02,0.0442812
-4.97250e-02,0.0413594
-4.97240e-02,0.0410312
-4.97230e-02,0.0381406
-4.97220e-02,0.0354531
-4.97210e-02,0.0338594
-4.97200e-02,0.032
-4.97190e-02,0.0286719
-4.97180e-02,0.0275156
-4.97170e-02,0.0260156
