Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.02
Vertical Position,-5
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.721269
-5.00990e-02,-0.721225
-5.00980e-02,-0.721178
-5.00970e-02,-0.721194
-5.00960e-02,-0.720963
-5.00950e-02,-0.720822
-5.00940e-02,-0.721347
-5.00930e-02,-0.720847
-5.00920e-02,-0.721513
-5.00910e-02,-0.720744
-5.00900e-02,-0.721141
-5.00890e-02,-0.7213
-5.00880e-02,-0.720891
-5.00870e-02,-0.720844
-5.00860e-02,-0.721372
-5.00850e-02,-0.721078
-5.00840e-02,-0.720953
-5.00830e-02,-0.721234
-5.00820e-02,-0.720913
-5.00810e-02,-0.720863
-5.00800e-02,-0.721172
-5.00790e-02,-0.721144
-5.00780e-02,-0.721597
-5.00770e-02,-0.720847
-5.00760e-02,-0.721222
-5.00750e-02,-0.721
-5.00740e-02,-0.721184
-5.00730e-02,-0.721156
-5.00720e-02,-0.721028
-5.00710e-02,-0.721206
-5.00700e-02,-0.721125
-5.00690e-02,-0.721453
-5.00680e-02,-0.721019
-5.00670e-02,-0.721009
-5.00660e-02,-0.720913
-5.00650e-02,-0.721097
-5.00640e-02,-0.720916
-5.00630e-02,-0.721022
-5.00620e-02,-0.721194
-5.00610e-02,-0.720913
-5.00600e-02,-0.721097
-5.00590e-02,-0.720991
-5.00580e-02,-0.721313
-5.00570e-02,-0.721172
-5.00560e-02,-0.720984
-5.00550e-02,-0.721447
-5.00540e-02,-0.721156
-5.00530e-02,-0.721291
-5.00520e-02,-0.721259
-5.00510e-02,-0.721128
-5.00500e-02,-0.721141
-5.00490e-02,-0.721128
-5.00480e-02,-0.721166
-5.00470e-02,-0.721228
-5.00460e-02,-0.72105
-5.00450e-02,-0.721366
-5.00440e-02,-0.721203
-5.00430e-02,-0.720819
-5.00420e-02,-0.7214
-5.00410e-02,-0.721416
-5.00400e-02,-0.721309
-5.00390e-02,-0.721181
-5.00380e-02,-0.721134
-5.00370e-02,-0.720919
-5.00360e-02,-0.721206
-5.00350e-02,-0.721109
-5.00340e-02,-0.721163
-5.00330e-02,-0.721325
-5.00320e-02,-0.721119
-5.00310e-02,-0.720991
-5.00300e-02,-0.721034
-5.00290e-02,-0.721088
-5.00280e-02,-0.721178
-5.00270e-02,-0.721503
-5.00260e-02,-0.721703
-5.00250e-02,-0.720953
-5.00240e-02,-0.721331
-5.00230e-02,-0.721194
-5.00220e-02,-0.721419
-5.00210e-02,-0.721084
-5.00200e-02,-0.721322
-5.00190e-02,-0.721356
-5.00180e-02,-0.721269
-5.00170e-02,-0.721256
-5.00160e-02,-0.721319
-5.00150e-02,-0.721306
-5.00140e-02,-0.721297
-5.00130e-02,-0.721619
-5.00120e-02,-0.721131
-5.00110e-02,-0.72125
-5.00100e-02,-0.721103
-5.00090e-02,-0.721034
-5.00080e-02,-0.72145
-5.00070e-02,-0.721269
-5.00060e-02,-0.721078
-5.00050e-02,-0.721497
-5.00040e-02,-0.721259
-5.00030e-02,-0.721172
-5.00020e-02,-0.721366
-5.00010e-02,-0.721316
-5.00000e-02,-0.721084
-4.99990e-02,-0.720984
-4.99980e-02,-0.721288
-4.99970e-02,-0.7211
-4.99960e-02,-0.721213
-4.99950e-02,-0.721225
-4.99940e-02,-0.721441
-4.99930e-02,-0.7213
-4.99920e-02,-0.721334
-4.99910e-02,-0.721222
-4.99900e-02,-0.721066
-4.99890e-02,-0.721484
-4.99880e-02,-0.721409
-4.99870e-02,-0.721531
-4.99860e-02,-0.721581
-4.99850e-02,-0.721353
-4.99840e-02,-0.721081
-4.99830e-02,-0.721716
-4.99820e-02,-0.721509
-4.99810e-02,-0.721719
-4.99800e-02,-0.721394
-4.99790e-02,-0.721284
-4.99780e-02,-0.721638
-4.99770e-02,-0.721328
-4.99760e-02,-0.7219
-4.99750e-02,-0.721391
-4.99740e-02,-0.721444
-4.99730e-02,-0.721616
-4.99720e-02,-0.721416
-4.99710e-02,-0.721322
-4.99700e-02,-0.721672
-4.99690e-02,-0.721419
-4.99680e-02,-0.721641
-4.99670e-02,-0.721738
-4.99660e-02,-0.721434
-4.99650e-02,-0.721619
-4.99640e-02,-0.721634
-4.99630e-02,-0.721463
-4.99620e-02,-0.721266
-4.99610e-02,-0.721438
-4.99600e-02,-0.721741
-4.99590e-02,-0.721419
-4.99580e-02,-0.721772
-4.99570e-02,-0.721778
-4.99560e-02,-0.721588
-4.99550e-02,-0.721497
-4.99540e-02,-0.721441
-4.99530e-02,-0.721844
-4.99520e-02,-0.721859
-4.99510e-02,-0.721453
-4.99500e-02,-0.721656
-4.99490e-02,-0.721591
-4.99480e-02,-0.721319
-4.99470e-02,-0.7216
-4.99460e-02,-0.721638
-4.99450e-02,-0.721334
-4.99440e-02,-0.721309
-4.99430e-02,-0.721794
-4.99420e-02,-0.721622
-4.99410e-02,-0.721813
-4.99400e-02,-0.721366
-4.99390e-02,-0.721256
-4.99380e-02,-0.721666
-4.99370e-02,-0.721694
-4.99360e-02,-0.721819
-4.99350e-02,-0.721472
-4.99340e-02,-0.721625
-4.99330e-02,-0.721163
-4.99320e-02,-0.721884
-4.99310e-02,-0.721363
-4.99300e-02,-0.721613
-4.99290e-02,-0.721344
-4.99280e-02,-0.721363
-4.99270e-02,-0.72185
-4.99260e-02,-0.72155
-4.99250e-02,-0.721722
-4.99240e-02,-0.721569
-4.99230e-02,-0.721563
-4.99220e-02,-0.721434
-4.99210e-02,-0.721359
-4.99200e-02,-0.721672
-4.99190e-02,-0.721528
-4.99180e-02,-0.721788
-4.99170e-02,-0.721784
-4.99160e-02,-0.721931
-4.99150e-02,-0.721756
-4.99140e-02,-0.721813
-4.99130e-02,-0.721788
-4.99120e-02,-0.721575
-4.99110e-02,-0.721713
-4.99100e-02,-0.721594
-4.99090e-02,-0.721603
-4.99080e-02,-0.721675
-4.99070e-02,-0.721578
-4.99060e-02,-0.721544
-4.99050e-02,-0.721484
-4.99040e-02,-0.721475
-4.99030e-02,-0.721531
-4.99020e-02,-0.721547
-4.99010e-02,-0.721822
-4.99000e-02,-0.721509
-4.98990e-02,-0.722003
-4.98980e-02,-0.7218
-4.98970e-02,-0.7219
-4.98960e-02,-0.721534
-4.98950e-02,-0.721669
-4.98940e-02,-0.721819
-4.98930e-02,-0.721616
-4.98920e-02,-0.721791
-4.98910e-02,-0.721434
-4.98900e-02,-0.721838
-4.98890e-02,-0.721863
-4.98880e-02,-0.721491
-4.98870e-02,-0.721828
-4.98860e-02,-0.721984
-4.98850e-02,-0.721772
-4.98840e-02,-0.722028
-4.98830e-02,-0.721816
-4.98820e-02,-0.721675
-4.98810e-02,-0.721934
-4.98800e-02,-0.721847
-4.98790e-02,-0.721588
-4.98780e-02,-0.7221
-4.98770e-02,-0.721913
-4.98760e-02,-0.721953
-4.98750e-02,-0.721719
-4.98740e-02,-0.721713
-4.98730e-02,-0.721641
-4.98720e-02,-0.721813
-4.98710e-02,-0.721947
-4.98700e-02,-0.721894
-4.98690e-02,-0.721966
-4.98680e-02,-0.722016
-4.98670e-02,-0.722113
-4.98660e-02,-0.721869
-4.98650e-02,-0.722141
-4.98640e-02,-0.721934
-4.98630e-02,-0.722253
-4.98620e-02,-0.721928
-4.98610e-02,-0.722194
-4.98600e-02,-0.722019
-4.98590e-02,-0.721956
-4.98580e-02,-0.721828
-4.98570e-02,-0.721922
-4.98560e-02,-0.7219
-4.98550e-02,-0.722009
-4.98540e-02,-0.721966
-4.98530e-02,-0.721791
-4.98520e-02,-0.722084
-4.98510e-02,-0.721988
-4.98500e-02,-0.721984
-4.98490e-02,-0.722278
-4.98480e-02,-0.722213
-4.98470e-02,-0.722175
-4.98460e-02,-0.722081
-4.98450e-02,-0.722069
-4.98440e-02,-0.722078
-4.98430e-02,-0.722097
-4.98420e-02,-0.722016
-4.98410e-02,-0.722428
-4.98400e-02,-0.722281
-4.98390e-02,-0.722078
-4.98380e-02,-0.722456
-4.98370e-02,-0.722097
-4.98360e-02,-0.722556
-4.98350e-02,-0.722284
-4.98340e-02,-0.722025
-4.98330e-02,-0.722203
-4.98320e-02,-0.722194
-4.98310e-02,-0.722
-4.98300e-02,-0.721988
-4.98290e-02,-0.722184
-4.98280e-02,-0.722144
-4.98270e-02,-0.722378
-4.98260e-02,-0.722066
-4.98250e-02,-0.7223
-4.98240e-02,-0.722459
-4.98230e-02,-0.722363
-4.98220e-02,-0.722503
-4.98210e-02,-0.722509
-4.98200e-02,-0.722678
-4.98190e-02,-0.722491
-4.98180e-02,-0.722447
-4.98170e-02,-0.722347
-4.98160e-02,-0.722563
-4.98150e-02,-0.722581
-4.98140e-02,-0.722894
-4.98130e-02,-0.722384
-4.98120e-02,-0.722491
-4.98110e-02,-0.72235
-4.98100e-02,-0.722653
-4.98090e-02,-0.722656
-4.98080e-02,-0.722722
-4.98070e-02,-0.722594
-4.98060e-02,-0.722406
-4.98050e-02,-0.722531
-4.98040e-02,-0.722691
-4.98030e-02,-0.722872
-4.98020e-02,-0.722481
-4.98010e-02,-0.72275
-4.98000e-02,-0.722869
-4.97990e-02,-0.723009
-4.97980e-02,-0.722634
-4.97970e-02,-0.722997
-4.97960e-02,-0.722516
-4.97950e-02,-0.722559
-4.97940e-02,-0.722859
-4.97930e-02,-0.723
-4.97920e-02,-0.722816
-4.97910e-02,-0.722669
-4.97900e-02,-0.722478
-4.97890e-02,-0.722609
-4.97880e-02,-0.722909
-4.97870e-02,-0.722888
-4.97860e-02,-0.722669
-4.97850e-02,-0.72295
-4.97840e-02,-0.723341
-4.97830e-02,-0.722897
-4.97820e-02,-0.723081
-4.97810e-02,-0.723003
-4.97800e-02,-0.723116
-4.97790e-02,-0.72285
-4.97780e-02,-0.723084
-4.97770e-02,-0.723266
-4.97760e-02,-0.723328
-4.97750e-02,-0.723016
-4.97740e-02,-0.723184
-4.97730e-02,-0.722778
-4.97720e-02,-0.723025
-4.97710e-02,-0.722978
-4.97700e-02,-0.722922
-4.97690e-02,-0.723119
-4.97680e-02,-0.723184
-4.97670e-02,-0.723003
-4.97660e-02,-0.723041
-4.97650e-02,-0.723166
-4.97640e-02,-0.723353
-4.97630e-02,-0.722866
-4.97620e-02,-0.723269
-4.97610e-02,-0.723325
-4.97600e-02,-0.722884
-4.97590e-02,-0.723169
-4.97580e-02,-0.723234
-4.97570e-02,-0.723134
-4.97560e-02,-0.723391
-4.97550e-02,-0.723172
-4.97540e-02,-0.72335
-4.97530e-02,-0.723275
-4.97520e-02,-0.723116
-4.97510e-02,-0.723194
-4.97500e-02,-0.723269
-4.97490e-02,-0.7233
-4.97480e-02,-0.723106
-4.97470e-02,-0.723253
-4.97460e-02,-0.723644
-4.97450e-02,-0.723316
-4.97440e-02,-0.723519
-4.97430e-02,-0.723588
-4.97420e-02,-0.723616
-4.97410e-02,-0.723469
-4.97400e-02,-0.723231
-4.97390e-02,-0.723413
-4.97380e-02,-0.723063
-4.97370e-02,-0.723494
-4.97360e-02,-0.723722
-4.97350e-02,-0.7234
-4.97340e-02,-0.723347
-4.97330e-02,-0.723203
-4.97320e-02,-0.723425
-4.97310e-02,-0.723594
-4.97300e-02,-0.723347
-4.97290e-02,-0.723763
-4.97280e-02,-0.723319
-4.97270e-02,-0.723606
-4.97260e-02,-0.723269
-4.97250e-02,-0.723488
-4.97240e-02,-0.723781
-4.97230e-02,-0.723588
-4.97220e-02,-0.723338
-4.97210e-02,-0.723709
-4.97200e-02,-0.723266
-4.97190e-02,-0.723294
-4.97180e-02,-0.723316
-4.97170e-02,-0.723638
-4.97160e-02,-0.723525
