Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.02
Vertical Position,-5
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.719666
-5.00990e-02,-0.719234
-5.00980e-02,-0.719309
-5.00970e-02,-0.719131
-5.00960e-02,-0.719341
-5.00950e-02,-0.719269
-5.00940e-02,-0.719178
-5.00930e-02,-0.719334
-5.00920e-02,-0.719375
-5.00910e-02,-0.719291
-5.00900e-02,-0.719391
-5.00890e-02,-0.719019
-5.00880e-02,-0.719209
-5.00870e-02,-0.719431
-5.00860e-02,-0.719222
-5.00850e-02,-0.719288
-5.00840e-02,-0.7194
-5.00830e-02,-0.719191
-5.00820e-02,-0.719416
-5.00810e-02,-0.719481
-5.00800e-02,-0.71895
-5.00790e-02,-0.719338
-5.00780e-02,-0.719038
-5.00770e-02,-0.719466
-5.00760e-02,-0.719234
-5.00750e-02,-0.719334
-5.00740e-02,-0.719294
-5.00730e-02,-0.719175
-5.00720e-02,-0.719291
-5.00710e-02,-0.719253
-5.00700e-02,-0.719613
-5.00690e-02,-0.719494
-5.00680e-02,-0.719366
-5.00670e-02,-0.719409
-5.00660e-02,-0.719291
-5.00650e-02,-0.71955
-5.00640e-02,-0.719219
-5.00630e-02,-0.719616
-5.00620e-02,-0.719416
-5.00610e-02,-0.719288
-5.00600e-02,-0.7194
-5.00590e-02,-0.719372
-5.00580e-02,-0.719431
-5.00570e-02,-0.719309
-5.00560e-02,-0.719303
-5.00550e-02,-0.719484
-5.00540e-02,-0.719253
-5.00530e-02,-0.719409
-5.00520e-02,-0.719481
-5.00510e-02,-0.719603
-5.00500e-02,-0.719325
-5.00490e-02,-0.719375
-5.00480e-02,-0.719053
-5.00470e-02,-0.719428
-5.00460e-02,-0.719294
-5.00450e-02,-0.719072
-5.00440e-02,-0.719147
-5.00430e-02,-0.719297
-5.00420e-02,-0.719494
-5.00410e-02,-0.719563
-5.00400e-02,-0.719334
-5.00390e-02,-0.719206
-5.00380e-02,-0.719356
-5.00370e-02,-0.719331
-5.00360e-02,-0.719213
-5.00350e-02,-0.719228
-5.00340e-02,-0.719297
-5.00330e-02,-0.718788
-5.00320e-02,-0.719263
-5.00310e-02,-0.719369
-5.00300e-02,-0.719203
-5.00290e-02,-0.719247
-5.00280e-02,-0.719028
-5.00270e-02,-0.71925
-5.00260e-02,-0.719034
-5.00250e-02,-0.719238
-5.00240e-02,-0.719409
-5.00230e-02,-0.719241
-5.00220e-02,-0.719188
-5.00210e-02,-0.719125
-5.00200e-02,-0.719206
-5.00190e-02,-0.719447
-5.00180e-02,-0.719356
-5.00170e-02,-0.719216
-5.00160e-02,-0.719213
-5.00150e-02,-0.719266
-5.00140e-02,-0.719475
-5.00130e-02,-0.719006
-5.00120e-02,-0.719131
-5.00110e-02,-0.719244
-5.00100e-02,-0.719263
-5.00090e-02,-0.719363
-5.00080e-02,-0.718934
-5.00070e-02,-0.719334
-5.00060e-02,-0.719513
-5.00050e-02,-0.719191
-5.00040e-02,-0.719359
-5.00030e-02,-0.719372
-5.00020e-02,-0.719316
-5.00010e-02,-0.719056
-5.00000e-02,-0.719309
-4.99990e-02,-0.719244
-4.99980e-02,-0.719078
-4.99970e-02,-0.719144
-4.99960e-02,-0.719091
-4.99950e-02,-0.718888
-4.99940e-02,-0.719347
-4.99930e-02,-0.719175
-4.99920e-02,-0.719156
-4.99910e-02,-0.719031
-4.99900e-02,-0.719225
-4.99890e-02,-0.719109
-4.99880e-02,-0.719128
-4.99870e-02,-0.719169
-4.99860e-02,-0.718916
-4.99850e-02,-0.718791
-4.99840e-02,-0.719138
-4.99830e-02,-0.719206
-4.99820e-02,-0.718922
-4.99810e-02,-0.719366
-4.99800e-02,-0.718988
-4.99790e-02,-0.718878
-4.99780e-02,-0.719163
-4.99770e-02,-0.719694
-4.99760e-02,-0.719369
-4.99750e-02,-0.719297
-4.99740e-02,-0.719209
-4.99730e-02,-0.719325
-4.99720e-02,-0.71895
-4.99710e-02,-0.719019
-4.99700e-02,-0.718859
-4.99690e-02,-0.719128
-4.99680e-02,-0.719519
-4.99670e-02,-0.719066
-4.99660e-02,-0.719203
-4.99650e-02,-0.71945
-4.99640e-02,-0.719072
-4.99630e-02,-0.719394
-4.99620e-02,-0.719163
-4.99610e-02,-0.719178
-4.99600e-02,-0.719313
-4.99590e-02,-0.718775
-4.99580e-02,-0.719303
-4.99570e-02,-0.719038
-4.99560e-02,-0.719319
-4.99550e-02,-0.719263
-4.99540e-02,-0.719225
-4.99530e-02,-0.719319
-4.99520e-02,-0.719378
-4.99510e-02,-0.719222
-4.99500e-02,-0.719303
-4.99490e-02,-0.719472
-4.99480e-02,-0.719319
-4.99470e-02,-0.71935
-4.99460e-02,-0.719422
-4.99450e-02,-0.719063
-4.99440e-02,-0.719559
-4.99430e-02,-0.719422
-4.99420e-02,-0.719353
-4.99410e-02,-0.719328
-4.99400e-02,-0.719594
-4.99390e-02,-0.719566
-4.99380e-02,-0.719325
-4.99370e-02,-0.719372
-4.99360e-02,-0.719209
-4.99350e-02,-0.719397
-4.99340e-02,-0.719369
-4.99330e-02,-0.719572
-4.99320e-02,-0.719484
-4.99310e-02,-0.719791
-4.99300e-02,-0.719394
-4.99290e-02,-0.719384
-4.99280e-02,-0.719459
-4.99270e-02,-0.719391
-4.99260e-02,-0.719619
-4.99250e-02,-0.719625
-4.99240e-02,-0.719406
-4.99230e-02,-0.719791
-4.99220e-02,-0.719772
-4.99210e-02,-0.719372
-4.99200e-02,-0.719547
-4.99190e-02,-0.719875
-4.99180e-02,-0.719478
-4.99170e-02,-0.719484
-4.99160e-02,-0.719759
-4.99150e-02,-0.7196
-4.99140e-02,-0.719369
-4.99130e-02,-0.719544
-4.99120e-02,-0.719925
-4.99110e-02,-0.719681
-4.99100e-02,-0.719916
-4.99090e-02,-0.719706
-4.99080e-02,-0.719619
-4.99070e-02,-0.719541
-4.99060e-02,-0.719972
-4.99050e-02,-0.719791
-4.99040e-02,-0.719969
-4.99030e-02,-0.71985
-4.99020e-02,-0.7198
-4.99010e-02,-0.719941
-4.99000e-02,-0.719869
-4.98990e-02,-0.719978
-4.98980e-02,-0.719931
-4.98970e-02,-0.720294
-4.98960e-02,-0.719928
-4.98950e-02,-0.719844
-4.98940e-02,-0.719959
-4.98930e-02,-0.720134
-4.98920e-02,-0.719988
-4.98910e-02,-0.719838
-4.98900e-02,-0.720231
-4.98890e-02,-0.720178
-4.98880e-02,-0.720097
-4.98870e-02,-0.720166
-4.98860e-02,-0.720425
-4.98850e-02,-0.720497
-4.98840e-02,-0.72
-4.98830e-02,-0.720347
-4.98820e-02,-0.720063
-4.98810e-02,-0.720281
-4.98800e-02,-0.720466
-4.98790e-02,-0.720597
-4.98780e-02,-0.720197
-4.98770e-02,-0.720222
-4.98760e-02,-0.720475
-4.98750e-02,-0.720619
-4.98740e-02,-0.72025
-4.98730e-02,-0.720478
-4.98720e-02,-0.720384
-4.98710e-02,-0.720653
-4.98700e-02,-0.720528
-4.98690e-02,-0.720291
-4.98680e-02,-0.720613
-4.98670e-02,-0.720544
-4.98660e-02,-0.720519
-4.98650e-02,-0.72055
-4.98640e-02,-0.720503
-4.98630e-02,-0.720588
-4.98620e-02,-0.720681
-4.98610e-02,-0.720384
-4.98600e-02,-0.720694
-4.98590e-02,-0.721097
-4.98580e-02,-0.720838
-4.98570e-02,-0.720988
-4.98560e-02,-0.720609
-4.98550e-02,-0.720819
-4.98540e-02,-0.720563
-4.98530e-02,-0.721169
-4.98520e-02,-0.720691
-4.98510e-02,-0.720756
-4.98500e-02,-0.721291
-4.98490e-02,-0.720713
-4.98480e-02,-0.721294
-4.98470e-02,-0.720806
-4.98460e-02,-0.720966
-4.98450e-02,-0.720975
-4.98440e-02,-0.721278
-4.98430e-02,-0.721225
-4.98420e-02,-0.721025
-4.98410e-02,-0.720838
-4.98400e-02,-0.721084
-4.98390e-02,-0.720991
-4.98380e-02,-0.721219
-4.98370e-02,-0.721156
-4.98360e-02,-0.721019
-4.98350e-02,-0.721222
-4.98340e-02,-0.720759
-4.98330e-02,-0.721341
-4.98320e-02,-0.721069
-4.98310e-02,-0.721453
-4.98300e-02,-0.720931
-4.98290e-02,-0.7214
-4.98280e-02,-0.721
-4.98270e-02,-0.721372
-4.98260e-02,-0.721209
-4.98250e-02,-0.72115
-4.98240e-02,-0.721241
-4.98230e-02,-0.721469
-4.98220e-02,-0.721441
-4.98210e-02,-0.721231
-4.98200e-02,-0.721141
-4.98190e-02,-0.721688
-4.98180e-02,-0.721466
-4.98170e-02,-0.721381
-4.98160e-02,-0.721544
-4.98150e-02,-0.721606
-4.98140e-02,-0.721741
-4.98130e-02,-0.721622
-4.98120e-02,-0.721528
-4.98110e-02,-0.721722
-4.98100e-02,-0.721631
-4.98090e-02,-0.721719
-4.98080e-02,-0.721697
-4.98070e-02,-0.721628
-4.98060e-02,-0.721428
-4.98050e-02,-0.721528
-4.98040e-02,-0.721722
-4.98030e-02,-0.72175
-4.98020e-02,-0.721691
-4.98010e-02,-0.72165
-4.98000e-02,-0.721466
-4.97990e-02,-0.721803
-4.97980e-02,-0.721381
-4.97970e-02,-0.721516
-4.97960e-02,-0.721794
-4.97950e-02,-0.721809
-4.97940e-02,-0.721597
-4.97930e-02,-0.7218
-4.97920e-02,-0.721725
-4.97910e-02,-0.722172
-4.97900e-02,-0.721991
-4.97890e-02,-0.721972
-4.97880e-02,-0.721594
-4.97870e-02,-0.721756
-4.97860e-02,-0.721803
-4.97850e-02,-0.721778
-4.97840e-02,-0.721788
-4.97830e-02,-0.722069
-4.97820e-02,-0.721975
-4.97810e-02,-0.721813
-4.97800e-02,-0.721853
-4.97790e-02,-0.721966
-4.97780e-02,-0.721834
-4.97770e-02,-0.721969
-4.97760e-02,-0.721725
-4.97750e-02,-0.721638
-4.97740e-02,-0.721806
-4.97730e-02,-0.722169
-4.97720e-02,-0.721966
-4.97710e-02,-0.72195
-4.97700e-02,-0.721756
-4.97690e-02,-0.721884
-4.97680e-02,-0.721888
-4.97670e-02,-0.722106
-4.97660e-02,-0.722097
-4.97650e-02,-0.722322
-4.97640e-02,-0.721875
-4.97630e-02,-0.722191
-4.97620e-02,-0.722019
-4.97610e-02,-0.721959
-4.97600e-02,-0.722263
-4.97590e-02,-0.721888
-4.97580e-02,-0.721897
-4.97570e-02,-0.722222
-4.97560e-02,-0.722091
-4.97550e-02,-0.722059
-4.97540e-02,-0.722066
-4.97530e-02,-0.722088
-4.97520e-02,-0.722184
-4.97510e-02,-0.722197
-4.97500e-02,-0.722219
-4.97490e-02,-0.722138
-4.97480e-02,-0.722275
-4.97470e-02,-0.722391
-4.97460e-02,-0.721856
-4.97450e-02,-0.722178
-4.97440e-02,-0.722191
-4.97430e-02,-0.722128
-4.97420e-02,-0.7223
-4.97410e-02,-0.722197
-4.97400e-02,-0.722172
-4.97390e-02,-0.722316
-4.97380e-02,-0.722109
-4.97370e-02,-0.722381
-4.97360e-02,-0.722256
-4.97350e-02,-0.722647
-4.97340e-02,-0.722034
-4.97330e-02,-0.722081
-4.97320e-02,-0.722138
-4.97310e-02,-0.722206
-4.97300e-02,-0.722428
-4.97290e-02,-0.7222
-4.97280e-02,-0.722434
-4.97270e-02,-0.722363
-4.97260e-02,-0.722163
-4.97250e-02,-0.722088
-4.97240e-02,-0.722306
-4.97230e-02,-0.722431
-4.97220e-02,-0.722347
-4.97210e-02,-0.722138
-4.97200e-02,-0.722419
-4.97190e-02,-0.72235
-4.97180e-02,-0.722197
-4.97170e-02,-0.722444
-4.97160e-02,-0.722647
